DateTime,Temp,Intensity,Treatment
2021-04-21 22:45:00,15.5271682739258,0,Ambient
2021-04-21 22:48:00,15.6129684448242,0,Ambient
2021-04-21 22:51:00,15.5271682739258,0,Ambient
2021-04-21 22:54:00,15.5271682739258,0,Ambient
2021-04-21 22:57:00,15.5271682739258,0,Ambient
2021-04-21 23:00:00,15.5271682739258,0,Ambient
2021-04-21 23:03:00,15.4842672348022,0,Ambient
2021-04-21 23:06:00,15.4842672348022,0,Ambient
2021-04-21 23:09:00,15.4842672348022,0,Ambient
2021-04-21 23:12:00,15.5271682739258,0,Ambient
2021-04-21 23:15:00,15.5271682739258,0,Ambient
2021-04-21 23:18:00,15.441367149353,0,Ambient
2021-04-21 23:21:00,15.4842672348022,0,Ambient
2021-04-21 23:24:00,15.441367149353,0,Ambient
2021-04-21 23:27:00,15.441367149353,0,Ambient
