Sample,Treatment,Day,group,total_biomass
17,Control,24,Chlorophyta,0.734552009897873
17,Control,24,Cryptophyta,92.4938218842099
17,Control,24,Cyanobacteria,0.246562663429239
17,Control,24,Dinophyta,38.9871648310493
17,Control,24,Euglenophyta,2.21827120959197
17,Control,24,Synurophyta,0
17,Control,30,Bacillariophyta,0.615791878943104
17,Control,30,Charophyta,8.99389980168328
17,Control,30,Chlorophyta,0.0913260984398553
17,Control,30,Cryptophyta,140.037801530704
17,Control,30,Cyanobacteria,0.117050506285
17,Control,30,Dinophyta,10.6814150222053
17,Control,30,Euglenophyta,0
17,Control,30,Synurophyta,0
17,Control,38,Bacillariophyta,30.9002187783674
17,Control,38,Charophyta,23.8338344744607
17,Control,38,Chlorophyta,4.00939096090099
17,Control,38,Cryptophyta,76.2519181103461
17,Control,38,Cyanobacteria,5.36296045906558
17,Control,38,Dinophyta,6.94291976443344
17,Control,38,Euglenophyta,3.48390762498348
17,Control,38,Synurophyta,0
19,HW,-4,Bacillariophyta,2.98498433666859
19,HW,-4,Charophyta,11.0460276360679
19,HW,-4,Chlorophyta,4.69147330369464
19,HW,-4,Cryptophyta,242.99662851818
19,HW,-4,Cyanobacteria,0
19,HW,-4,Dinophyta,6.94291976443344
19,HW,-4,Euglenophyta,0.381344318651099
19,HW,-4,Synurophyta,0
19,HW,3,Bacillariophyta,0.267035375555132
19,HW,3,Charophyta,0
19,HW,3,Chlorophyta,2.51458311981083
19,HW,3,Cryptophyta,248.782394988541
19,HW,3,Cyanobacteria,0
19,HW,3,Dinophyta,21.3628300444106
19,HW,3,Euglenophyta,0
19,HW,3,Synurophyta,0
19,HW,10,Bacillariophyta,7.00173773564364
19,HW,10,Charophyta,50.7180912678294
19,HW,10,Chlorophyta,2.48289492191162
19,HW,10,Cryptophyta,15.2872689959652
19,HW,10,Cyanobacteria,0.616989685809726
19,HW,10,Dinophyta,6.94291976443344
19,HW,10,Euglenophyta,0.534070751110265
19,HW,10,Synurophyta,0
19,HW,15,Bacillariophyta,0
19,HW,15,Charophyta,0.838936138202374
19,HW,15,Chlorophyta,6.00829594999048
19,HW,15,Cryptophyta,94.3224578830635
19,HW,15,Cyanobacteria,0.00890117918517108
19,HW,15,Dinophyta,10.6814150222053
19,HW,15,Euglenophyta,0
19,HW,15,Synurophyta,0
19,HW,24,Bacillariophyta,4.90661257978674
19,HW,24,Charophyta,6.21059379109679
19,HW,24,Chlorophyta,0.454538715090761
19,HW,24,Cryptophyta,111.501016052872
19,HW,24,Cyanobacteria,0.441890139468633
19,HW,24,Dinophyta,0
19,HW,24,Euglenophyta,0.644014222139604
19,HW,24,Synurophyta,0
19,HW,30,Bacillariophyta,1.99529827577465
19,HW,30,Charophyta,3.16787403963248
19,HW,30,Chlorophyta,65.4191009299199
19,HW,30,Cryptophyta,37.2617825107437
19,HW,30,Cyanobacteria,0.975836274070305
19,HW,30,Dinophyta,0
19,HW,30,Euglenophyta,0
19,HW,30,Synurophyta,0
19,HW,38,Bacillariophyta,4.39437022046704
19,HW,38,Charophyta,5.22923878593168
19,HW,38,Chlorophyta,2.85655966568775
19,HW,38,Cryptophyta,3.79190233288288
19,HW,38,Cyanobacteria,22.1464231010292
19,HW,38,Dinophyta,6.94291976443344
19,HW,38,Euglenophyta,0
19,HW,38,Synurophyta,0
22,Control,-4,Bacillariophyta,49.8583398902092
22,Control,-4,Charophyta,65.7477121279968
22,Control,-4,Chlorophyta,6.46226650751796
22,Control,-4,Cryptophyta,155.542042332545
22,Control,-4,Cyanobacteria,4.18711468870448
22,Control,-4,Dinophyta,89.1898154354142
22,Control,-4,Euglenophyta,0.665363144091538
22,Control,-4,Synurophyta,0
22,Control,3,Bacillariophyta,0
22,Control,3,Charophyta,6.23093669435957
22,Control,3,Chlorophyta,1.97978024671258
22,Control,3,Cryptophyta,93.1285371557195
22,Control,3,Cyanobacteria,5.37359291760226
22,Control,3,Dinophyta,53.4070751110265
22,Control,3,Euglenophyta,0.235881248407034
22,Control,3,Synurophyta,0
22,Control,10,Bacillariophyta,103.970296817057
